ONS ID,Leave
E14000582,75.6%
E14001011,74.2%
E14000642,73.0%
E14000933,73.0%
E14000771,72.8%
E14000622,72.7%
E14000973,72.1%
E14000669,71.7%
E14000717,71.5%
E14000716,71.4%
E14000671,71.4%
E14000974,71.1%
E14000939,71.1%
E14000542,71.0%
E14000810,70.9%
E14000535,70.5%
E14000672,70.4%
E14000577,70.4%
E14000657,70.3%
E14001028,70.3%
E14000995,70.3%
E14000733,69.6%
E14000643,69.5%
E14000751,69.5%
E14000842,69.4%
E14000900,69.3%
E14000836,69.3%
E14000798,68.9%
E14000618,68.9%
E14000914,68.7%
E14001030,68.7%
E14000667,68.5%
E14000904,68.3%
E14000546,68.3%
E14000541,68.2%
E14001029,68.2%
E14001050,68.1%
E14000740,68.1%
E14000773,68.0%
E14000573,67.8%
E14000531,67.8%
E14000854,67.8%
E14000729,67.7%
E14001049,67.7%
E14000891,67.7%
E14000888,67.7%
E14000544,67.1%
E14000572,66.9%
E14000903,66.7%
E14000668,66.7%
E14000952,66.7%
E14000609,66.6%
E14000722,66.6%
E14000879,66.4%
E14000970,66.3%
E14000920,66.3%
E14000596,66.2%
E14000989,66.2%
E14000819,66.1%
E14000986,66.0%
E14000677,66.0%
E14000758,65.8%
E14000859,65.8%
E14000606,65.5%
E14000715,65.4%
E14000927,65.4%
E14000533,65.3%
E14000820,65.3%
E14000558,65.3%
E14000945,65.2%
E14000852,65.2%
E14000805,64.9%
E14000972,64.8%
E14000610,64.8%
E14000576,64.8%
E14000966,64.7%
E14000868,64.5%
E14000961,64.1%
E14000659,64.0%
E14000626,63.9%
E14000866,63.8%
E14000883,63.7%
E14000898,63.7%
E14000976,63.7%
E14000683,63.7%
E14000924,63.7%
E14000711,63.6%
E14000588,63.6%
E14001022,63.4%
E14000785,63.3%
E14001034,63.2%
E14000695,63.2%
E14000875,63.2%
E14001058,63.1%
E14000579,63.0%
E14001025,63.0%
E14000670,63.0%
E14000561,63.0%
E14001039,63.0%
E14001009,62.8%
E14000878,62.7%
E14000736,62.6%
E14000999,62.5%
E14000754,62.4%
E14000869,62.4%
E14000747,62.4%
N06000012,62.2%
E14000595,62.1%
E14000944,62.1%
E14000843,62.1%
W07000072,62.0%
E14000707,62.0%
E14000762,61.9%
E14001020,61.9%
E14000713,61.8%
E14000537,61.8%
E14000565,61.8%
W07000048,61.8%
E14000765,61.8%
E14000948,61.7%
E14000834,61.6%
E14000704,61.6%
E14001012,61.6%
E14001016,61.6%
