ball,REPUBLICAN_2012,REPUBLICAN_2016,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Rural,lessthan50K,50to75k,75to100k,morethan100k,manu_arg,Poverty,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
0,60.14989218119648,63.292547321202214,12.456526429341965,33.48468176914779,22.835275080906147,9.179935275080906,22.045631067961164,23.0378640776699,9.612729234088457,12.145415318230851,18.224271844660194,20.54487594390507,16.42740021574973,85.64476806903991,39.93688360367737,50.13257820927724,19.292233009708738,12.561704422869472,18.01779935275081,17.63042071197411,14.929449838187702,30.780151024811218,15.90118662351672,5.8243781252535065
1,53.497064383618145,56.9079031420671,20.92820512820513,36.99679487179487,20.34551282051282,7.348076923076923,14.382692307692306,23.521153846153847,9.396794871794873,12.088461538461539,18.266666666666666,20.335256410256413,16.380128205128205,58.54807692307692,63.18247835520297,63.775,16.132692307692306,9.07948717948718,11.00448717948718,20.664743589743587,24.609615384615385,35.86987179487179,23.375641025641023,8.258201096153847
2,65.72784306334874,72.15695382887291,16.990130151843818,39.057592190889366,21.28362255965293,7.740672451193058,14.926138828633405,22.103904555314532,7.870390455531453,10.87711496746204,17.897071583514098,21.851193058568327,19.39902386117137,87.11789587852495,96.73454392477308,58.6087852494577,18.33872017353579,10.573318872017355,12.481887201735358,22.31475054229935,18.008026030368764,32.45694143167028,18.239479392624727,6.501271417841648
3,33.8330890525686,37.00567677520801,25.185106382978724,37.18936170212766,18.608510638297872,6.629787234042554,12.404255319148936,22.8531914893617,9.585106382978724,12.274468085106383,17.85531914893617,20.827659574468086,16.604255319148937,35.09148936170212,98.8883039855169,71.92553191489361,13.82340425531915,7.034042553191489,7.219148936170213,24.940425531914894,31.70212765957447,38.761702127659575,28.131914893617022,10.73206264361702
4,51.55090711038506,55.73856403051719,21.963793103448275,39.11494252873563,19.594827586206897,6.804597701149425,12.520689655172413,22.389080459770113,8.894252873563218,11.779310344827586,18.163218390804598,21.19080459770115,17.587356321839078,57.18563218390804,96.59816749086623,66.25057471264368,15.683333333333334,8.435057471264368,9.625862068965517,22.532183908045976,25.738505747126435,35.65862068965517,23.923563218390804,8.568748039195402
5,63.29115981451289,69.1013541320898,15.449500554938957,37.69611542730299,21.504328523862377,8.469367369589344,16.88412874583796,22.498557158712543,8.70976692563818,11.338512763596004,18.197891231964483,21.280355160932295,17.973806881243064,87.92674805771365,67.25349835715991,55.95560488346282,18.865704772475027,11.32930077691454,13.8511653718091,20.68046614872364,17.211209766925638,32.16426193118757,17.587791342952276,6.626545122497226
6,47.66924723455745,46.448862640858216,13.489591078066914,27.878810408921932,22.53940520446097,8.27100371747212,27.823420074349443,23.694052044609666,10.885130111524163,14.309293680297397,18.758736059479556,18.81635687732342,13.537918215613383,63.599256505576214,10.874898449080943,49.21040892193309,18.08624535315985,11.99925650557621,20.704089219330854,11.249814126394051,17.12490706319703,29.725278810408923,17.718587360594796,6.499584340111524
7,33.43007243151436,36.03502944915,22.058333333333334,33.37083333333333,21.308333333333334,7.908333333333334,15.366666666666667,24.383333333333336,10.4,12.483333333333334,17.650000000000002,20.037499999999998,15.054166666666667,34.916666666666664,52.817042393704675,68.45416666666667,14.700000000000001,7.783333333333334,9.0375,18.599999999999998,30.695833333333336,38.737500000000004,26.575,10.396487990416666
8,53.93376555107763,61.65620694933415,15.6,42.0,23.3,7.0,11.9,12.3,10.5,13.6,29.1,27.8,6.7,25.1,100.0,35.7,21.8,15.6,26.9,69.6,15.5,31.1,17.0,4.5859305400000006
9,40.05013229355243,43.074233458848845,12.5,40.3,25.1,6.4,15.7,15.7,11.6,18.5,25.3,23.200000000000003,5.7,37.8,100.0,26.4,15.9,19.2,38.6,39.1,7.7,36.2,14.000000000000002,4.93324282
