GEO_ID,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Black,Rural,manu_arg,Poverty,lessthan50K,50to75k,75to100k,morethan100k,FIPS,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value,county_name,state,DEMOCRAT_2012,REPUBLICAN_2012,DEMOCRAT_2016,REPUBLICAN_2016
1001,12.4,34.3,21.5,7.1,24.6,25.2,8.6,12.2,21.0,19.1,14.0,76.7,20.9,41.030800821355236,15.2,12.3,46.4,19.5,13.2,20.8,1001,30.9,19.400000000000002,5.88304691,AUTAUGA,ALABAMA,26.58783219120842,72.61825171318736,23.76967124494454,72.76658791494815
1003,9.9,28.7,22.4,9.4,29.5,22.2,7.7,11.3,19.1,21.0,18.7,88.0,9.0,32.81567161774656,10.6,13.0,48.5,18.6,12.0,20.9,1003,26.700000000000003,16.0,6.05372021,BALDWIN,ALABAMA,21.58944432726335,77.35826946963837,19.3856010082445,76.5457123352413
1005,26.3,34.9,17.8,8.2,12.9,21.5,9.4,13.8,19.1,19.7,16.5,47.3,48.6,64.88207953176106,26.9,26.4,65.9,14.6,9.4,9.9,1005,40.8,25.7,10.809274839999999,BARBOUR,ALABAMA,51.36849422191329,48.223129724563385,46.52784411118541,52.09666634826631
1007,19.3,41.8,21.1,5.8,12.0,21.1,9.2,13.8,21.4,19.7,14.9,77.5,20.8,100.0,25.0,16.5,60.3,17.7,11.4,10.6,1007,40.1,22.0,7.13785047,BIBB,ALABAMA,26.152019002375297,72.82660332541568,21.249574781721282,76.40322031976415
1009,19.9,32.9,22.5,11.6,13.0,23.6,8.0,11.5,19.799999999999997,19.9,17.2,91.7,2.1,90.71968158557388,18.5,16.5,53.9,21.8,11.0,13.3,1009,32.4,20.7,6.14690826,BLOUNT,ALABAMA,12.371907023244189,86.46588352911772,8.425824605283728,89.33484445833984
1011,33.5,34.1,18.3,3.9,10.3,21.6,9.0,12.4,21.200000000000003,20.7,15.1,24.4,72.3,100.0,38.5,26.9,68.6,17.9,8.1,5.3,1011,44.5,29.299999999999997,9.08313742,BULLOCK,ALABAMA,76.30590003757986,23.50620067643743,74.94692144373673,24.203821656050955
1013,19.0,39.9,17.2,8.0,16.1,23.3,7.9,12.0,17.9,20.7,18.1,53.9,45.9,70.52824801142158,24.3,25.7,64.7,16.2,8.8,10.1,1013,36.0,27.400000000000002,8.57019345,BUTLER,ALABAMA,46.06149957877001,53.56992417860151,42.67063673843335,56.12688960146587
1015,17.7,32.1,25.3,7.3,17.7,22.1,10.0,12.8,18.5,20.7,15.9,74.0,23.6,35.52929201538114,18.0,19.6,57.4,19.0,10.1,13.6,1015,32.0,22.3,7.919188470000001,CALHOUN,ALABAMA,33.532222150161054,65.45603908597619,27.665886678923616,68.66329600534849
1017,19.8,39.4,20.3,8.0,12.5,21.4,8.5,11.6,18.6,21.6,18.4,57.4,40.3,51.230684663775726,28.6,20.3,64.6,16.1,11.0,8.4,1017,39.800000000000004,25.8,6.747860429999999,CHAMBERS,ALABAMA,47.02621312709602,52.19355280268291,41.611510791366904,56.42446043165468
1019,18.8,36.0,23.0,8.4,14.0,20.6,7.2,9.5,18.8,23.5,20.3,94.4,4.9,100.0,24.6,16.4,60.7,17.1,9.5,12.7,1019,32.7,19.8,5.85007523,CHEROKEE,ALABAMA,21.80182022701708,76.75631455159014,14.413491102208143,83.41563402590143
