GEO_ID,Under18,18to24,25to29,30to34,35to39,40to44,45to49,50to54,55to59,60to64,Over65
0500000US01001,25.2,8.6,6.3,5.9,7.1,6.6,7.3,7.4,6.5,5.2,14.0
0500000US01003,22.2,7.7,5.6,5.7,5.9,6.5,6.7,7.2,6.7,7.1,18.7
0500000US01005,21.5,9.4,6.8,7.0,6.9,5.4,6.8,7.0,6.6,6.1,16.5
0500000US01007,21.1,9.2,7.1,6.7,5.7,7.8,7.9,7.5,6.5,5.7,14.9
0500000US01009,23.6,8.0,5.6,5.9,5.5,7.2,7.1,7.0,6.3,6.6,17.2
0500000US01011,21.6,9.0,7.4,5.0,8.3,6.5,6.4,7.3,5.4,8.0,15.1
0500000US01013,23.3,7.9,5.8,6.2,5.3,6.7,5.9,6.7,6.8,7.2,18.1
0500000US01015,22.1,10.0,6.7,6.1,6.1,6.0,6.4,7.0,7.0,6.7,15.9
0500000US01017,21.4,8.5,6.0,5.6,5.5,6.5,6.6,7.5,7.7,6.4,18.4
0500000US01019,20.6,7.2,4.9,4.6,5.5,6.3,7.0,7.7,8.2,7.6,20.3
0500000US01021,24.2,8.0,6.7,6.6,6.3,7.1,6.4,6.6,7.3,5.6,15.2
0500000US01023,20.8,8.1,4.5,5.2,5.0,6.4,6.7,7.8,8.1,6.7,20.7
0500000US01025,22.6,8.9,5.1,5.5,5.9,6.2,6.8,7.5,6.5,7.0,18.1
0500000US01027,21.6,8.3,4.9,4.5,5.4,7.3,6.7,7.6,7.5,6.8,19.4
0500000US01029,23.5,7.4,5.3,5.4,6.4,6.7,7.1,7.0,7.0,6.2,18.2
0500000US01031,23.8,8.3,6.4,6.2,6.5,7.0,6.8,6.8,6.8,5.6,15.8
0500000US01033,21.6,8.0,6.0,5.9,4.9,7.2,6.6,7.2,7.3,6.8,18.5
0500000US01035,22.2,8.4,5.0,4.9,4.7,6.2,6.2,7.2,8.0,6.9,20.3
0500000US01037,18.3,8.9,3.9,5.1,4.8,9.2,6.6,7.4,9.2,7.9,18.7
0500000US01039,22.0,7.7,5.6,5.7,5.6,5.7,6.1,7.4,7.0,7.0,20.2
0500000US01041,22.9,8.4,5.6,5.1,6.3,6.1,6.4,7.6,8.1,6.0,17.5
0500000US01043,22.5,8.3,6.2,5.8,6.3,6.1,6.6,7.3,6.9,6.4,17.8
0500000US01045,23.6,9.1,7.2,7.2,6.5,5.7,5.9,6.8,7.3,5.2,15.4
0500000US01047,25.2,9.5,6.0,5.7,5.3,5.7,5.8,7.2,7.4,6.5,15.7
0500000US01049,24.7,8.4,5.9,6.1,6.0,7.2,6.8,6.6,6.3,6.5,15.5
0500000US01051,22.9,9.2,6.5,6.9,6.8,7.2,7.0,7.2,7.0,5.4,13.9
0500000US01053,22.3,9.7,5.8,6.0,6.3,6.6,6.9,7.2,6.7,5.9,16.7
0500000US01055,22.0,8.6,5.7,5.7,6.6,6.5,6.7,7.1,7.6,6.1,17.4
0500000US01057,21.5,8.2,5.2,5.5,5.5,6.4,6.8,7.0,6.7,7.7,19.5
0500000US01059,24.3,9.4,5.7,6.1,6.0,7.1,6.3,7.0,6.2,5.8,16.0
0500000US01061,22.2,7.6,5.5,6.0,5.6,6.7,6.7,6.8,8.0,5.9,19.0
0500000US01063,23.2,7.4,7.1,5.8,5.9,3.7,5.6,7.1,8.1,8.2,18.0
0500000US01065,23.5,9.0,5.5,5.4,6.8,3.8,6.0,8.0,6.2,8.0,17.7
0500000US01067,21.1,7.8,4.7,5.0,7.1,5.8,6.2,6.7,7.4,7.5,20.6
0500000US01069,23.8,8.1,6.5,6.5,5.9,6.8,6.5,7.0,6.9,6.1,16.0
0500000US01071,21.7,7.7,5.4,5.4,6.3,6.5,6.8,7.3,7.6,6.9,18.5
0500000US01073,23.1,9.2,7.3,7.0,6.3,6.4,6.2,6.9,7.0,6.2,14.3
0500000US01075,21.7,7.2,5.2,5.6,5.3,6.4,6.4,7.3,8.5,6.2,20.2
0500000US01077,20.5,11.3,6.0,5.7,5.1,6.3,6.3,6.9,7.2,6.3,18.3
0500000US01079,21.9,8.1,5.9,5.9,5.5,7.1,7.1,8.1,8.3,6.0,16.2
0500000US01081,21.8,19.7,7.7,6.7,5.9,6.2,5.8,5.9,4.9,5.1,10.3
0500000US01083,23.4,7.9,6.3,6.9,6.5,7.4,7.5,7.7,6.9,5.6,13.9
0500000US01085,23.2,9.0,6.4,5.7,5.4,4.6,6.9,7.7,7.5,6.3,17.3
0500000US01087,18.0,18.9,5.6,4.6,4.6,5.3,5.6,6.6,6.7,7.3,16.7
0500000US01089,22.5,9.8,7.1,6.7,6.1,6.2,7.1,8.1,7.1,5.6,13.7
0500000US01091,23.1,8.7,5.7,5.1,5.5,6.2,6.3,7.1,7.1,6.7,18.6
0500000US01093,21.1,7.7,5.5,5.1,5.2,7.1,7.0,7.5,6.1,7.6,20.1
0500000US01095,24.7,8.3,6.3,6.0,6.1,6.7,6.4,6.7,6.1,6.2,16.4
0500000US01097,24.0,9.7,7.1,6.5,6.1,6.0,6.2,7.0,6.8,6.2,14.5
0500000US01099,23.4,8.8,5.1,5.2,5.6,6.1,6.6,7.2,8.3,5.9,17.8
0500000US01101,23.2,10.8,7.6,7.1,6.5,6.2,6.2,6.7,6.7,5.7,13.3
0500000US01103,23.2,8.2,6.1,6.2,6.5,6.4,7.0,7.4,7.2,6.1,15.8
0500000US01105,22.5,17.2,1.8,3.4,8.4,5.0,4.6,6.4,6.6,5.4,18.9
0500000US01107,20.9,8.8,6.1,6.2,5.8,5.5,7.2,7.6,7.3,6.6,17.9
0500000US01109,20.0,21.0,7.9,5.5,4.3,5.7,5.0,5.5,5.7,5.1,14.3
0500000US01111,22.2,8.9,4.7,5.2,5.3,7.0,6.2,7.1,7.5,6.5,19.4
0500000US01113,25.1,9.1,8.3,7.7,6.2,6.1,6.3,6.6,6.7,5.1,12.6
0500000US01115,23.0,7.6,6.3,6.5,6.4,7.3,7.3,7.2,6.9,6.1,15.2
0500000US01117,24.4,8.1,6.1,6.8,7.3,7.3,7.2,7.3,6.6,6.0,13.0
0500000US01119,19.9,17.8,6.2,4.6,4.7,4.9,5.1,6.6,7.8,6.2,16.2
0500000US01121,22.2,8.7,6.1,6.0,5.9,7.0,7.0,7.0,7.4,6.4,16.1
0500000US01123,21.5,7.9,5.7,5.5,4.6,6.6,6.5,7.1,7.9,7.0,19.5
0500000US01125,21.0,18.2,8.0,6.6,6.0,5.7,5.4,5.9,5.9,5.5,11.7
0500000US01127,22.2,8.2,5.7,5.7,5.4,6.9,6.6,7.2,7.4,6.6,18.1
0500000US01129,23.5,8.4,5.7,6.0,4.8,6.3,6.0,8.4,6.8,7.4,16.7
0500000US01131,23.4,9.7,6.1,4.8,5.6,6.1,5.9,6.7,7.0,7.1,17.8
0500000US01133,21.0,7.1,5.3,5.7,5.2,6.7,7.0,7.5,6.9,7.7,20.0
0500000US02013,12.3,10.5,7.0,6.6,7.2,10.1,11.8,11.6,8.9,7.3,6.7
0500000US02016,15.7,11.6,9.2,9.3,7.9,8.4,9.0,10.0,6.6,6.6,5.7
0500000US02020,25.0,11.0,9.0,8.0,6.8,6.0,6.4,6.9,6.8,5.1,8.9
0500000US02050,35.9,11.0,8.2,6.5,5.7,5.1,5.7,5.9,5.1,4.3,6.7
0500000US02060,23.4,7.7,5.2,5.8,6.5,7.2,8.0,12.4,9.1,6.7,8.0
0500000US02068,17.9,11.3,8.8,8.8,6.2,7.7,8.1,9.6,5.8,8.6,7.3
0500000US02070,31.8,11.5,7.1,6.7,5.6,4.2,5.5,6.7,7.5,5.2,8.1
0500000US02090,24.5,14.4,9.9,7.9,6.4,5.7,5.7,6.2,6.0,5.5,7.8
