GEO_ID,child_poverty
0500000US01001,16.7
0500000US01003,18.4
0500000US01005,44.8
0500000US01007,26.2
0500000US01009,26.5
0500000US01011,45.1
0500000US01013,38.2
0500000US01015,28.9
0500000US01017,32.9
0500000US01019,22.4
0500000US01021,31.4
0500000US01023,30.2
0500000US01025,28.7
0500000US01027,20.8
0500000US01029,31.2
0500000US01031,25.9
0500000US01033,24.0
0500000US01035,48.7
0500000US01037,21.4
0500000US01039,29.3
0500000US01041,21.5
0500000US01043,21.2
0500000US01045,28.8
0500000US01047,56.4
0500000US01049,28.0
0500000US01051,21.9
0500000US01053,32.9
0500000US01055,28.8
0500000US01057,22.8
0500000US01059,38.1
0500000US01061,35.7
0500000US01063,61.2
0500000US01065,34.6
0500000US01067,19.5
0500000US01069,30.0
0500000US01071,28.5
0500000US01073,26.7
0500000US01075,37.4
0500000US01077,26.4
0500000US01079,22.1
0500000US01081,23.6
0500000US01083,18.0
0500000US01085,45.9
0500000US01087,37.7
0500000US01089,18.5
0500000US01091,39.9
0500000US01093,25.0
0500000US01095,34.0
0500000US01097,29.0
0500000US01099,39.6
0500000US01101,32.1
0500000US01103,24.0
0500000US01105,62.1
0500000US01107,38.1
0500000US01109,30.9
0500000US01111,32.0
0500000US01113,31.6
0500000US01115,16.9
0500000US01117,10.8
0500000US01119,46.7
0500000US01121,32.5
0500000US01123,41.7
0500000US01125,22.5
0500000US01127,31.5
0500000US01129,30.8
0500000US01131,49.4
0500000US01133,34.6
0500000US02013,17.8
0500000US02016,8.6
0500000US02020,12.3
0500000US02050,32.7
0500000US02060,7.8
0500000US02068,5.8
0500000US02070,23.0
0500000US02090,9.9
0500000US02100,4.0
0500000US02105,29.2
0500000US02110,13.4
0500000US02122,14.6
0500000US02130,17.6
0500000US02150,11.9
0500000US02158,41.8
0500000US02164,24.9
0500000US02170,11.3
0500000US02180,33.0
0500000US02185,17.7
0500000US02188,30.7
0500000US02195,9.7
0500000US02198,22.1
0500000US02220,11.0
0500000US02230,3.9
0500000US02240,19.1
0500000US02261,6.3
0500000US02275,14.9
0500000US02282,11.1
0500000US02290,31.2
0500000US04001,45.0
0500000US04003,26.9
0500000US04005,25.8
0500000US04007,35.7
0500000US04009,28.6
