GEO_ID,Nohighschool_1824,Highschool_1824,Somedegree_1824,Degree_1824,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus
0500000US01001,18.8,37.5,36.2,7.4,12.4,34.3,21.5,7.1,24.6
0500000US01003,18.7,31.9,41.3,8.1,9.9,28.7,22.4,9.4,29.5
0500000US01005,21.6,44.2,30.7,3.5,26.3,34.9,17.8,8.2,12.9
0500000US01007,25.5,31.1,42.0,1.5,19.3,41.8,21.1,5.8,12.0
0500000US01009,18.2,32.8,46.1,2.9,19.9,32.9,22.5,11.6,13.0
0500000US01011,18.0,60.2,21.8,0.0,33.5,34.1,18.3,3.9,10.3
0500000US01013,19.6,32.9,46.0,1.4,19.0,39.9,17.2,8.0,16.1
0500000US01015,13.5,29.7,50.4,6.5,17.7,32.1,25.3,7.3,17.7
0500000US01017,12.6,38.9,44.2,4.3,19.8,39.4,20.3,8.0,12.5
0500000US01019,13.1,40.2,41.3,5.4,18.8,36.0,23.0,8.4,14.0
0500000US01021,15.6,43.5,37.6,3.3,20.0,41.3,17.0,7.0,14.9
0500000US01023,21.2,44.7,33.7,0.4,21.2,37.3,21.1,8.6,12.0
0500000US01025,19.0,55.5,24.2,1.2,18.9,45.1,16.9,6.8,12.1
0500000US01027,16.6,45.4,36.2,1.8,25.4,34.6,20.9,8.1,11.1
0500000US01029,17.6,43.2,35.5,3.7,25.8,38.0,19.7,5.0,11.5
0500000US01031,21.7,30.8,40.8,6.7,14.9,29.3,22.6,9.6,23.7
0500000US01033,17.3,33.5,46.2,3.0,16.5,34.8,22.5,7.6,18.5
0500000US01035,18.9,52.5,25.9,2.7,20.6,46.2,18.4,6.2,8.7
0500000US01037,21.3,31.4,46.3,0.9,27.0,36.3,21.2,5.5,9.9
0500000US01039,15.0,42.3,40.2,2.4,19.1,34.4,21.5,10.1,14.9
0500000US01041,24.0,37.2,33.5,5.3,21.7,38.5,18.3,6.8,14.6
0500000US01043,22.1,32.1,41.1,4.8,17.8,35.1,21.3,10.8,15.0
