GEO_ID,pop_18to24,less_than_hs_18to24,degree_18to24,pop_25over,less_9grade_over25,9to12grade_over25,degree_over25,graduatedegree_over25
0500000US01001,4730,889,352,36466,1306,3222,5204,3764
0500000US01003,15294,2866,1239,139946,3976,9980,27056,14294
0500000US01005,2492,539,86,18387,1539,3285,1431,935
0500000US01007,2066,527,30,15750,909,2131,971,919
0500000US01009,4631,844,134,39472,2741,5141,3522,1629
0500000US01011,945,170,0,7333,554,1898,356,396
0500000US01013,1598,314,23,13949,988,1654,1328,915
0500000US01015,11581,1566,747,78661,4308,9586,8247,5639
0500000US01017,2881,364,124,23854,1328,3380,2086,892
0500000US01019,1877,246,101,18694,1096,2403,1463,1147
0500000US01021,3492,544,115,29735,2037,3881,2830,1587
0500000US01023,1079,229,4,9448,689,1309,740,390
0500000US01025,2207,420,27,17022,837,2390,1317,749
0500000US01027,1123,186,20,9446,1084,1314,626,419
0500000US01029,1107,195,41,10366,775,1901,651,544
0500000US01031,4255,923,285,34614,1680,3465,5251,2941
0500000US01033,4371,755,131,38271,1924,4420,4501,2568
0500000US01035,1069,202,29,8808,590,1222,434,329
0500000US01037,965,206,9,7907,801,1339,489,297
0500000US01039,2919,439,71,26492,2002,3049,2653,1300
0500000US01041,1167,280,62,9551,862,1209,1045,354
0500000US01043,6714,1483,321,56323,3770,6280,5435,2996
0500000US01045,4516,536,327,33363,1768,2958,3540,1821
0500000US01047,3954,626,115,27038,1631,4042,2233,1494
0500000US01049,5947,1329,134,47440,5833,7148,3154,2238
0500000US01051,7454,1451,521,54950,2180,5058,7600,4620
0500000US01053,3682,1203,96,25762,1521,3514,1901,1094
0500000US01055,8910,1624,404,71696,4310,8272,7513,4311
0500000US01057,1370,245,75,11806,902,1550,1048,622
0500000US01059,2970,588,74,20928,2327,2765,1660,933
0500000US01061,2027,432,63,18805,1614,2582,1559,634
0500000US01063,632,189,13,5965,471,904,457,138
0500000US01065,1365,292,11,10229,591,1312,992,443
0500000US01067,1334,161,71,12221,787,1572,1102,871
0500000US01069,8406,1475,434,70773,3198,7486,9614,5261
0500000US01071,4054,779,97,37119,2715,4900,2929,1740
0500000US01073,60521,7675,6332,446097,13775,35319,84843,55411
0500000US01075,1018,327,47,9998,849,1409,814,492
0500000US01077,10489,1290,603,63148,3091,6468,8196,5494
0500000US01079,2694,422,171,23427,1886,3375,1700,715
0500000US01081,30309,2184,3682,90099,3659,6511,17732,13273
0500000US01083,7117,1683,437,62036,3860,6589,9700,4730
0500000US01085,947,250,16,7165,488,1317,679,201
0500000US01087,3728,290,138,12414,753,1672,1369,1119
0500000US01089,34408,4009,3596,236871,6901,14856,60122,36218
0500000US01091,1755,287,22,13679,888,1320,1414,609
0500000US01093,2317,631,98,21538,1630,2701,1713,972
0500000US01095,7807,1569,444,63366,5721,7836,6877,3621
0500000US01097,40003,7551,3030,274893,10731,28366,41373,20512
0500000US01099,1936,549,33,14893,972,1704,1158,688
0500000US01101,24456,4552,2194,150072,7036,14705,28639,18573
0500000US01103,9817,1916,493,82033,5389,8974,11960,5619
0500000US01105,1695,261,35,5941,400,1003,475,386
0500000US01107,1763,409,56,14084,864,1798,1105,461
0500000US01109,6990,196,531,19618,1080,2852,2888,1818
0500000US01111,2003,525,146,15599,1549,1998,1555,844
0500000US01113,5349,1398,130,38568,2230,4496,4152,2410
0500000US01115,6581,1192,355,60054,2795,7124,6314,3357
0500000US01117,16642,2142,1811,139017,3775,7939,38107,19478
0500000US01119,2363,291,128,8278,464,1193,907,593
0500000US01121,7055,1454,252,55993,3907,7397,4519,2811
0500000US01123,3251,974,61,28910,1565,4321,3372,1634
0500000US01125,36777,3003,3324,123155,3878,10726,22314,13856
0500000US01127,5395,1001,202,45633,3562,6224,2805,2006
0500000US01129,1418,378,30,11524,610,1725,710,399
0500000US01131,1080,241,31,7441,471,1028,545,296
0500000US01133,1699,400,56,17274,1595,2550,1387,874
0500000US02013,347,58,15,2545,211,187,250,54
0500000US02016,663,58,59,4153,207,313,479,173
0500000US02020,33049,4196,2605,191431,5373,7481,41512,24145
0500000US02050,1962,774,34,9503,841,974,671,414
0500000US02060,73,13,2,649,22,26,87,37
0500000US02068,241,34,66,1503,12,45,449,130
0500000US02070,574,137,20,2824,206,167,307,189
0500000US02090,14401,1229,1090,61221,1044,2389,12675,7756
0500000US02100,218,2,3,1847,22,62,513,234
0500000US02105,136,21,0,1579,50,99,260,123
0500000US02110,2990,454,222,22288,230,745,5631,3158
0500000US02122,4815,947,293,39538,728,2146,5805,3558
0500000US02130,1186,254,72,9428,193,558,1469,772
0500000US02150,1181,187,11,8998,455,385,1569,667
0500000US02158,1004,331,3,3773,304,510,110,71
0500000US02164,140,37,8,835,52,62,63,41
0500000US02170,8854,1730,215,62756,1157,3611,8599,4321
0500000US02180,1063,226,15,5406,277,538,556,196
0500000US02185,891,145,27,6318,217,518,615,281
0500000US02188,965,267,18,4042,280,564,301,134
0500000US02195,329,55,8,2115,44,117,385,144
0500000US02198,500,83,17,4325,78,332,426,257
0500000US02220,615,113,84,6296,143,320,1148,889
0500000US02230,73,6,3,807,9,19,217,55
0500000US02240,601,123,26,4495,148,268,500,363
0500000US02261,985,56,72,6265,192,260,1355,530
0500000US02275,139,29,13,1767,76,134,247,111
0500000US02282,51,9,1,451,5,20,78,11
0500000US02290,494,113,9,3541,273,333,274,160
0500000US04001,7498,1999,98,43657,4933,4566,3129,1699
0500000US04003,11432,2070,498,88171,5492,6331,13036,7387
0500000US04005,27647,2053,2264,80322,3375,5529,16006,11471
0500000US04007,3794,1000,121,38557,1656,4409,4161,2678
0500000US04009,4087,882,66,22996,1262,2091,1863,1201
0500000US04011,838,205,0,5772,250,451,546,158
0500000US04012,1423,386,0,15369,1523,2295,1021,583
0500000US04013,392218,64738,34296,2672410,164449,184352,527975,299640
0500000US04015,13671,3257,379,151909,7110,17417,11921,6124
0500000US04017,9937,2964,66,68065,4986,7602,5990,3874
0500000US04019,121165,17210,9207,662883,32810,48408,117924,86248
0500000US04021,31397,8309,799,269816,15697,25000,32073,17766
0500000US04023,4519,1109,280,28782,3682,3573,4333,2141
0500000US04025,14903,2182,737,165655,5347,10938,25781,16530
0500000US04027,23795,4687,617,126271,18262,17447,11922,6244
0500000US05001,1532,310,49,12745,781,1447,1276,563
0500000US05003,1727,253,56,14337,826,1483,1330,618
0500000US05005,2307,495,25,31435,1326,2692,3869,1707
0500000US05007,19949,2965,1964,158777,9349,10921,32516,16265
0500000US05009,2890,376,154,26136,1482,2444,2542,1370
0500000US05011,907,163,34,7582,513,1013,798,281
0500000US05013,486,63,20,3704,174,447,312,133
0500000US05015,2080,500,76,19478,1429,1724,2157,1289
0500000US05017,894,189,21,7728,533,1007,718,297
0500000US05019,5118,233,328,13141,611,1159,2010,1238
0500000US05021,1182,196,27,10812,1053,1205,775,452
0500000US05023,1723,293,59,18821,1123,2017,1817,1078
0500000US05025,721,202,29,5760,299,500,594,313
0500000US05027,3949,375,271,15040,759,1472,2240,1056
0500000US05029,1682,202,87,14516,731,1451,1641,815
0500000US05031,11873,943,1284,65447,2595,5291,10543,6075
0500000US05033,4959,909,81,41418,2250,3847,3906,1706
0500000US05035,4565,820,187,31056,1884,3777,3688,1713
0500000US05037,1458,344,38,11608,719,1527,1047,665
0500000US05039,529,78,33,5399,289,605,503,182
0500000US05041,1085,319,9,8010,605,1307,726,330
0500000US05043,2926,184,217,11575,694,1430,1572,725
0500000US05045,18850,1497,1948,72992,1944,4572,13492,7759
0500000US05047,1530,262,19,12041,729,1541,1125,442
0500000US05049,815,119,9,8909,542,891,605,378
0500000US05051,7325,1216,365,69592,2369,5732,9123,5229
0500000US05053,1449,136,56,12376,362,873,1619,836
0500000US05055,4014,611,264,29009,1354,2924,3262,1508
0500000US05057,1575,423,74,14775,1216,1937,1173,691
0500000US05059,2825,440,150,23482,1005,2312,2021,1145
0500000US05061,931,372,35,9063,827,1040,945,482
0500000US05063,3139,347,167,25007,1406,2473,2815,1591
0500000US05065,937,239,3,10025,634,976,839,402
0500000US05067,1388,242,60,12561,1201,1737,766,320
0500000US05069,7561,1092,264,48054,2368,5188,5384,2780
0500000US05071,2639,495,131,17050,1271,2308,1813,905
0500000US05073,591,87,30,5074,259,744,551,143
0500000US05075,1715,234,24,11438,926,1163,969,565
0500000US05077,913,124,0,6939,665,1467,368,198
0500000US05079,1366,355,20,10073,580,1530,570,216
0500000US05081,834,139,29,8921,255,994,672,195
0500000US05083,1745,221,47,15278,910,1719,1519,469
0500000US05085,5938,716,388,46472,1545,3991,6390,2675
0500000US05087,1231,184,22,10820,944,1181,809,417
0500000US05089,1003,205,7,12503,395,1357,1253,662
0500000US05091,3644,664,72,29461,1293,2970,2885,1386
0500000US05093,4162,752,168,28100,2047,3459,2223,1328
0500000US05095,699,133,10,5247,403,742,357,118
0500000US05097,565,67,3,6746,548,816,495,349
0500000US05099,680,211,0,6017,347,668,598,308
0500000US05101,505,9,0,5893,339,815,543,331
0500000US05103,1912,309,92,17182,678,1698,1808,1047
0500000US05105,823,103,16,7171,342,932,529,233
0500000US05107,1910,508,129,12645,1117,1869,891,584
0500000US05109,782,142,37,7692,534,893,653,489
0500000US05111,2064,423,52,16322,1344,2130,1069,494
0500000US05113,1438,321,41,14094,819,1399,1119,610
0500000US05115,9086,619,535,39650,2298,4259,5435,3024
0500000US05117,610,128,33,5997,274,783,555,226
0500000US05119,35550,4984,4174,263171,8568,17520,54619,32052
0500000US05121,1342,178,32,12276,807,1245,1059,620
0500000US05123,2311,462,72,18555,1299,2789,1156,773
0500000US05125,8291,1482,482,79783,2394,6171,12870,6701
0500000US05127,941,103,10,7144,734,951,406,350
0500000US05129,484,167,15,5871,267,639,528,320
0500000US05131,12204,1840,713,83893,6302,8398,10756,5007
0500000US05133,1574,399,51,10638,1594,1639,615,383
0500000US05135,1148,324,25,12290,634,1427,767,473
0500000US05137,850,170,37,9144,948,1198,727,594
0500000US05139,3211,572,156,27433,1379,3079,3875,1400
0500000US05141,1088,224,98,12417,621,1325,1126,565
0500000US05143,32905,2717,4077,131905,10089,10778,23824,17300
0500000US05145,9723,922,688,50487,2576,5486,5529,4236
0500000US05147,530,182,43,4845,429,757,395,100
0500000US05149,1759,305,63,14543,1541,1680,1482,609
0500000US06001,147726,15269,23509,1113279,77240,64153,282754,205840
0500000US06003,120,24,5,790,10,60,140,95
0500000US06005,2472,542,26,28746,1023,2328,4212,1972
0500000US06007,34010,2721,2953,144395,6376,10574,25225,12528
0500000US06009,2892,556,210,33853,1083,2165,4645,2200
0500000US06011,2033,370,58,13392,2846,1432,1474,458
0500000US06013,94380,12092,10805,752880,43930,38441,192616,110566
0500000US06015,2379,306,40,19394,1089,2372,1688,1203
0500000US06017,14294,1611,989,130300,3448,6160,27316,15661
0500000US06019,105778,17438,5334,579136,88213,63662,76303,37972
0500000US06021,2549,591,145,17855,2510,2393,1703,566
0500000US06023,17880,1401,1115,90903,2292,6502,17031,8627
0500000US06025,19787,4532,713,107679,20261,15244,10576,4453
0500000US06027,1321,144,19,13233,590,936,1991,1250
0500000US06029,95776,17081,3808,518804,73561,63405,54412,26857
0500000US06031,17107,3582,706,91823,11999,12930,8378,3365
0500000US06033,4826,767,125,46222,2837,4691,4821,2647
0500000US06035,3865,1161,44,22818,1025,3220,1749,1112
0500000US06037,1048291,150225,105116,6712079,879313,616304,1348250,716661
0500000US06039,15532,3734,487,95172,16318,10612,8636,3860
0500000US06041,16434,2230,2278,189717,7360,5718,61100,47193
0500000US06043,1187,244,79,13540,238,1188,1879,1186
0500000US06045,6706,1001,376,61660,3878,4421,9665,5182
0500000US06047,31188,4003,1139,154008,29824,18521,13682,7359
0500000US06049,538,185,18,6683,269,639,926,295
0500000US06051,1981,169,428,9287,841,645,2063,783
0500000US06053,45816,9216,2290,270496,52473,26243,38978,24992
0500000US06055,12728,1811,802,97243,9825,5826,21345,10790
0500000US06057,6764,864,314,74327,1552,3404,16694,8876
0500000US06059,310567,33685,36608,2100472,182393,142979,520755,286817
0500000US06061,28832,3058,2353,256598,5605,9274,63509,31180
0500000US06063,1147,161,0,14499,322,851,1828,1353
0500000US06065,241449,35828,11562,1468896,138551,148195,198192,113053
0500000US06067,139759,18637,10888,978644,65563,63823,189759,96824
0500000US06069,5682,743,294,36661,5044,2913,4777,2172
0500000US06071,236493,35764,14149,1293779,125223,149158,162213,87709
0500000US06073,363932,37796,36649,2161760,152199,141760,487026,301896
0500000US06075,66659,3879,20271,668995,52454,31570,220335,146229
0500000US06077,73227,12822,3581,442112,51721,45612,55004,25293
0500000US06079,43523,2856,3013,184345,8040,10166,39994,22792
0500000US06081,56806,6000,10113,535502,35321,25577,148547,103414
0500000US06083,70162,7474,6478,270363,33884,20048,51832,35309
0500000US06085,165073,16947,30248,1284765,92544,73561,342701,288161
0500000US06087,41022,3483,3587,175387,15430,8565,40953,27433
0500000US06089,15171,1689,950,125235,3269,9270,16539,8622
0500000US06091,125,47,0,2381,63,198,352,119
0500000US06093,3102,459,198,31725,1163,2464,4715,2314
0500000US06095,41491,5587,2507,289265,16952,19211,50923,21746
0500000US06097,44484,5325,2750,350617,23275,21515,74393,41549
0500000US06099,53652,6211,2218,331349,40508,33668,36783,17955
0500000US06101,8957,1630,401,61269,7328,5414,7623,3345
0500000US06103,5034,750,171,42822,3128,4191,3939,1973
0500000US06105,716,212,49,10187,233,718,1594,450
0500000US06107,48725,9506,1620,263099,53858,29877,24659,12154
0500000US06109,4187,744,146,40694,803,3351,5312,2722
0500000US06111,83626,11257,6910,555316,54826,37207,111571,67240
0500000US06113,41980,2281,5595,122238,9456,8099,25078,23847
0500000US06115,7568,976,462,45723,3256,4903,4885,2224
0500000US08001,43147,9151,2987,303509,24588,29554,46224,21664
0500000US08003,3010,260,192,9332,799,710,1408,1000
0500000US08005,52999,8229,6730,413227,13644,18101,108428,59878
0500000US08007,1048,172,2,9115,332,455,2110,1074
0500000US08009,246,74,14,2619,135,225,411,161
0500000US08011,205,62,1,4688,324,415,309,136
0500000US08013,48217,2695,7675,202434,4812,6400,64270,55799
0500000US08014,4810,562,1074,42402,730,944,13968,8275
0500000US08015,1239,328,73,14370,386,809,2991,1954
0500000US08017,135,21,19,1323,58,66,247,61
0500000US08019,603,35,4,7172,25,195,2085,1111
0500000US08021,683,153,0,5289,467,380,718,252
0500000US08023,300,56,14,2611,325,276,234,289
0500000US08025,1068,264,33,3737,241,400,237,146
0500000US08027,220,65,0,3350,54,224,631,354
0500000US08029,2158,456,74,21753,811,1797,2807,1458
0500000US08031,57703,8354,10812,468263,31351,32514,131013,83072
0500000US08033,92,13,30,1336,36,86,192,79
0500000US08035,21948,3389,2805,203279,1387,2848,76292,40647
0500000US08037,4111,785,453,36594,2020,2072,12134,4346
0500000US08039,1788,336,161,16940,163,444,3923,1637
0500000US08041,75403,8111,6466,422966,8245,17352,94598,60064
0500000US08043,2925,891,49,36329,1076,3019,3606,2351
0500000US08045,4677,1289,333,37845,2245,2700,7176,3850
0500000US08047,190,52,16,4394,40,48,1025,485
0500000US08049,1118,299,229,10737,65,394,3030,961
0500000US08051,2953,177,308,10085,225,244,3883,1421
0500000US08053,6,0,0,701,4,32,221,66
0500000US08055,347,62,0,5148,195,251,807,531
0500000US08057,86,30,0,991,38,83,146,43
0500000US08059,46890,6987,5756,395230,7043,16069,105643,61224
0500000US08061,115,17,10,944,11,56,124,67
0500000US08063,569,138,37,5813,451,506,540,264
0500000US08065,838,162,89,5098,67,299,1217,359
0500000US08067,5614,536,459,37860,706,1261,10138,6141
0500000US08069,48368,3301,6142,210378,2892,6218,58408,36840
0500000US08071,1335,198,16,10360,604,871,1225,738
0500000US08073,342,92,4,4079,269,334,415,143
0500000US08075,2877,357,133,14675,696,868,1655,798
0500000US08077,14943,2152,545,99979,2920,7241,17395,8700
0500000US08079,17,0,0,713,5,19,192,111
0500000US08081,991,177,33,8676,273,501,1097,540
0500000US08083,1976,635,141,18206,602,1187,2883,2036
0500000US08085,2770,684,68,28950,1401,1844,4230,2655
0500000US08087,2551,532,91,18182,1818,1640,1805,1123
0500000US08089,1718,293,104,12348,823,931,1425,688
0500000US08091,257,21,17,3762,21,62,1211,839
0500000US08093,891,125,116,12809,147,327,2720,1184
0500000US08095,285,47,9,3035,157,174,445,174
0500000US08097,1211,277,200,13484,306,313,5803,2346
0500000US08099,1180,232,60,7821,634,723,846,358
0500000US08101,15504,3150,888,108786,4343,8444,14603,8502
0500000US08103,774,95,45,4261,85,263,623,308
0500000US08105,1029,317,45,7808,636,662,1081,681
0500000US08107,2010,212,216,17382,205,396,5677,2912
0500000US08109,385,131,24,4429,494,355,768,360
0500000US08111,39,3,0,457,18,3,110,20
0500000US08113,509,46,175,5766,46,348,2237,938
0500000US08115,191,68,5,1701,55,95,226,111
0500000US08117,2479,236,492,21914,634,537,7638,3301
0500000US08119,1544,222,93,17572,97,894,3622,2102
0500000US08121,369,69,15,3383,91,203,411,130
0500000US08123,28025,3643,1637,175279,9601,13176,32451,14457
0500000US08125,733,144,57,6671,553,308,965,462
0500000US09001,83220,11152,14872,636392,32770,31528,165089,129958
0500000US09003,81786,10788,11718,619328,28038,38455,129822,98500
0500000US09005,13711,1738,1943,135352,4036,7194,26729,19314
0500000US09007,14280,1279,1908,118519,2856,4437,26923,21585
0500000US09009,87274,10249,12544,591915,25320,36850,109536,93421
0500000US09011,28074,2135,3245,188716,5056,10859,33597,27577
0500000US09013,28210,1212,2472,95330,1839,4085,20999,16046
0500000US09015,12234,983,803,80577,3364,6245,11675,7548
0500000US10001,18600,2999,1381,112384,4953,9774,16203,9782
0500000US10003,56282,7831,6806,373316,11826,23785,77943,54320
0500000US10005,14706,2625,1166,155215,7335,14073,21624,15449
0500000US11001,81327,8084,18885,462997,18612,27898,108252,148064
0500000US12001,56741,3410,7962,153641,4130,7344,32800,30984
0500000US12003,2736,555,108,17878,995,2200,1616,666
0500000US12005,15734,2984,939,124142,3952,10101,18379,9595
0500000US12007,2185,649,138,19390,1171,3330,1624,660
0500000US12009,43367,6508,3605,412117,10629,25735,70806,43468
0500000US12011,156881,26834,14366,1304351,66654,85808,259844,144710
0500000US12013,1095,125,11,10376,771,1629,858,229
0500000US12015,9595,2115,485,137850,4172,10411,18551,11230
0500000US12017,8164,2031,308,111198,3895,10882,13034,6810
0500000US12019,16932,2714,1268,134708,4007,8375,22683,9564
0500000US12021,24010,4662,1826,260789,20120,17229,51687,36671
0500000US12023,6325,1588,53,46923,2085,4370,4526,2939
0500000US12027,3390,1263,16,24454,3823,3385,1705,750
0500000US12029,1059,390,35,12021,1015,1658,574,195
0500000US12031,87785,15531,8069,607088,19034,48302,116512,54015
0500000US12033,39778,4762,3038,204939,5860,14744,34088,16907
0500000US12035,6841,1149,209,77355,1910,4994,11626,6415
0500000US12037,819,273,14,8952,583,1243,929,569
0500000US12039,4053,1093,65,31799,2122,4608,3505,2054
0500000US12041,2106,794,27,11397,647,1324,927,480
0500000US12043,1225,360,2,9954,1106,1442,614,270
0500000US12045,1222,368,34,12106,577,1538,1437,586
0500000US12047,1807,699,10,9842,601,1859,728,276
0500000US12049,2773,861,22,17163,3422,1922,1192,461
0500000US12051,3850,1110,30,23888,5362,3509,1413,770
0500000US12053,12167,1779,496,131317,4693,12333,14414,7127
0500000US12055,6437,1890,99,74900,5121,7398,7959,4376
0500000US12057,127216,20443,13463,888930,43309,65107,178230,101190
0500000US12059,1724,465,55,13910,943,2081,1154,562
0500000US12061,9860,1991,514,110018,5003,8674,18195,11694
0500000US12063,4150,959,160,35443,2273,5388,2751,2101
0500000US12065,893,262,3,10797,633,1544,1231,822
0500000US12067,805,293,21,6120,551,993,459,374
0500000US12069,22107,4768,1398,232300,9467,18921,32771,17565
0500000US12071,49312,9585,3255,504918,26888,38707,85031,49870
0500000US12073,65310,4488,8156,165868,3713,8567,42196,32847
0500000US12075,2971,728,50,28729,1275,3924,2060,1147
0500000US12077,1072,241,26,5633,384,792,427,275
0500000US12079,1640,518,6,13207,702,1582,968,662
0500000US12081,24831,5040,1693,259773,11857,18073,44564,27845
0500000US12083,24285,5147,1210,252140,10118,24139,30446,15905
0500000US12085,9855,1914,766,117748,5170,6587,23015,14118
0500000US12086,245815,36268,21314,1869613,194853,167399,325566,184495
0500000US12087,5679,782,337,59901,2299,3086,11559,7053
0500000US12089,5606,973,220,55772,1729,3332,8847,4832
0500000US12091,19236,2331,1448,133072,4008,7586,23974,15204
0500000US12093,3464,1092,103,26976,3683,3910,1985,908
0500000US12095,144925,16500,14834,825249,39546,62118,175902,87541
0500000US12097,30211,5458,1871,203314,11551,17508,27036,10936
0500000US12099,110646,18582,10205,1013381,59311,62851,217583,128880
0500000US12101,34989,5628,2268,353206,12714,28746,52150,27265
0500000US12103,67304,10497,6023,712289,21491,46911,137065,73138
0500000US12105,55674,11365,2667,437227,27692,42302,57131,27957
0500000US12107,5569,1207,59,50941,3722,7276,4228,2231
0500000US12109,16496,2007,1442,153706,2515,5692,41875,23411
0500000US12111,22425,4726,1038,209615,11470,18270,26727,14844
0500000US12113,14094,2298,1148,112777,2676,8411,20301,10023
0500000US12115,23979,3714,1615,314565,7591,15812,62376,41613
0500000US12117,40178,4689,3779,307232,7561,12771,73902,36227
0500000US12119,3841,1307,78,101207,2817,6768,17417,12760
0500000US12121,3478,755,111,30818,1852,4578,2701,1009
0500000US12123,1910,645,60,16320,941,2534,991,613
0500000US12125,1226,400,0,11038,710,2120,607,232
0500000US12127,43960,6785,3254,374690,10811,29310,55056,28934
0500000US12129,2425,723,0,22313,661,2087,2590,1123
0500000US12131,4164,1033,200,44776,1818,4936,8009,3771
0500000US12133,2086,622,0,17617,1076,2479,1190,745
0500000US13001,1419,251,18,12326,1080,1832,794,675
0500000US13003,693,194,0,5211,916,757,206,142
0500000US13005,1037,361,49,7312,447,1007,612,353
0500000US13007,291,40,0,2391,138,370,139,124
0500000US13009,9049,828,560,27875,1281,3833,2715,2420
0500000US13011,1489,220,36,12525,1089,1986,891,485
0500000US13013,5902,1386,130,47542,3022,5517,5567,2413
0500000US13015,8828,2177,318,67331,4233,8158,8260,4206
0500000US13017,1484,247,26,11400,635,1512,779,424
0500000US13019,1555,348,35,12799,755,1765,986,584
0500000US13021,16032,2664,1004,99419,4357,11263,14679,9768
0500000US13023,2035,129,43,7938,373,804,779,628
0500000US13025,1540,434,69,12177,633,1780,656,502
0500000US13027,1430,462,5,10790,653,1615,1011,331
0500000US13029,2677,463,111,21502,655,1403,4605,2563
0500000US13031,18962,1345,1166,39691,1708,3602,6282,4930
0500000US13033,2105,561,74,14706,1011,2325,818,712
0500000US13035,2149,673,79,16306,1059,2660,1169,495
0500000US13037,474,228,0,4751,362,779,311,178
0500000US13039,7088,767,386,31946,736,2130,4568,2658
0500000US13043,962,308,33,7238,548,1243,671,359
0500000US13045,15082,1969,672,70887,4852,8537,7749,5142
0500000US13047,5417,661,253,44671,1477,4951,5890,2888
0500000US13049,1326,376,32,9123,774,972,427,393
0500000US13051,33848,4486,3064,186212,6077,13863,37771,23483
0500000US13053,4049,306,303,5090,148,353,1182,351
0500000US13055,2225,684,41,17270,1895,2855,991,539
0500000US13057,18475,3312,1355,152050,6324,9245,37080,16893
0500000US13059,34511,1476,4893,66272,3329,5808,13591,13417
0500000US13061,229,119,0,2084,118,250,35,120
0500000US13063,28352,6131,1432,165413,11222,15971,21427,10049
0500000US13065,540,144,33,4422,383,659,357,279
0500000US13067,67275,9585,9257,481463,20624,21797,142039,74551
0500000US13069,4715,1137,69,27606,1968,3899,2196,1416
0500000US13071,4280,1481,107,29348,3353,4705,2277,1516
0500000US13073,11857,1848,1125,91502,2562,4894,19636,12481
0500000US13075,1426,367,9,11114,795,1830,959,579
0500000US13077,11164,1795,766,89400,3300,6886,16644,8464
0500000US13079,846,239,67,8944,513,1227,636,537
0500000US13081,2177,542,53,15182,1227,1862,1537,752
0500000US13083,2035,177,36,11161,814,1409,1039,501
0500000US13085,1770,536,112,16263,733,1466,3129,1724
0500000US13087,2486,654,112,17982,1331,2354,1810,1227
0500000US13089,66152,11651,8325,485606,25261,30262,117894,84820
0500000US13091,2073,335,46,14510,620,2064,1096,868
0500000US13093,1368,323,18,9953,917,1620,773,348
0500000US13095,11065,2525,342,58156,3389,6986,6898,4597
0500000US13097,12612,2424,818,88440,3322,7064,14633,8492
0500000US13099,867,211,32,6993,535,879,551,433
0500000US13101,355,114,0,2555,410,434,141,60
0500000US13103,4823,859,129,35904,1235,3719,4422,2141
0500000US13105,1637,275,71,13464,911,1988,824,750
0500000US13107,2209,430,123,14837,1108,2182,936,802
0500000US13109,784,111,22,7134,687,950,739,338
0500000US13111,1542,364,62,18198,1202,1888,2009,1216
0500000US13113,9601,1776,1340,73601,1746,2247,21500,12192
0500000US13115,9890,1745,832,63533,5404,7472,7424,5156
0500000US13117,13775,2485,1539,131143,4718,5451,42712,20591
0500000US13119,2136,329,46,15156,1273,2276,1212,703
0500000US13121,104693,12516,17121,663465,19567,38004,198321,132125
0500000US13123,2164,346,39,20808,1592,2497,2329,1383
0500000US13125,231,44,17,2068,173,270,130,40
0500000US13127,6784,1336,406,56717,1943,5084,9697,6277
0500000US13129,4640,1141,141,37178,3836,5307,2857,1945
0500000US13131,2040,349,17,16758,1304,2534,1296,844
