GEO_ID,White,Black
0500000US01001,76.7,20.9
0500000US01003,88.0,9.0
0500000US01005,47.3,48.6
0500000US01007,77.5,20.8
0500000US01009,91.7,2.1
0500000US01011,24.4,72.3
0500000US01013,53.9,45.9
0500000US01015,74.0,23.6
0500000US01017,57.4,40.3
0500000US01019,94.4,4.9
0500000US01021,83.2,10.1
0500000US01023,57.5,42.3
0500000US01025,54.2,45.5
0500000US01027,83.8,15.5
0500000US01029,95.5,3.7
0500000US01031,76.4,18.4
0500000US01033,80.7,17.7
0500000US01035,53.7,45.1
0500000US01037,68.7,30.5
0500000US01039,85.8,13.5
0500000US01041,74.5,25.5
0500000US01043,95.3,1.6
0500000US01045,74.2,22.8
0500000US01047,28.8,71.5
0500000US01049,85.0,2.2
0500000US01051,76.3,21.9
0500000US01053,64.5,31.5
0500000US01055,80.8,16.2
0500000US01057,87.5,12.0
0500000US01059,80.3,4.6
0500000US01061,88.2,10.2
0500000US01063,18.3,82.2
0500000US01065,42.1,57.7
0500000US01067,73.1,25.9
0500000US01069,69.4,28.2
0500000US01071,93.1,4.1
0500000US01073,52.7,42.9
0500000US01075,88.5,11.6
0500000US01077,87.0,11.2
0500000US01079,83.9,11.1
0500000US01081,69.0,24.1
0500000US01083,80.5,14.4
0500000US01085,28.9,71.1
0500000US01087,18.5,80.9
0500000US01089,69.4,25.7
0500000US01091,45.4,53.8
0500000US01093,94.0,5.0
0500000US01095,85.2,3.4
0500000US01097,59.7,36.8
0500000US01099,55.6,43.2
0500000US01101,35.8,58.5
0500000US01103,79.2,13.9
0500000US01105,29.4,71.1
0500000US01107,58.5,40.4
0500000US01109,59.1,38.5
0500000US01111,79.9,18.7
0500000US01113,51.5,46.8
0500000US01115,88.1,10.5
0500000US01117,79.9,14.1
0500000US01119,25.5,73.9
0500000US01121,65.6,33.6
0500000US01123,72.1,26.3
0500000US01125,64.6,31.6
0500000US01127,91.3,7.0
0500000US01129,70.3,22.8
0500000US01131,28.5,71.7
0500000US01133,96.9,1.1
0500000US02013,25.1,9.6
0500000US02016,37.8,6.0
0500000US02020,68.8,7.7
0500000US02050,13.6,1.0
0500000US02060,58.4,3.2
0500000US02063,79.4,1.6
0500000US02066,71.4,1.5
0500000US02068,93.3,1.2
0500000US02070,25.1,2.0
0500000US02090,80.9,6.4
0500000US02100,87.1,0.8
0500000US02105,58.8,2.5
0500000US02110,76.2,2.5
0500000US02122,88.7,1.5
0500000US02130,71.8,1.8
0500000US02150,59.2,1.5
0500000US02158,3.8,0.6
0500000US02164,29.0,1.8
0500000US02170,88.5,2.3
0500000US02180,21.8,1.2
0500000US02185,35.0,2.3
0500000US02188,14.0,1.7
0500000US02195,84.5,2.7
0500000US02198,51.8,1.5
0500000US02220,74.0,1.4
0500000US02230,91.8,1.9
0500000US02240,82.7,1.9
0500000US02275,78.7,1.3
0500000US02282,53.6,2.0
0500000US02290,26.0,0.8
0500000US04001,25.6,0.7
0500000US04003,81.7,5.5
0500000US04005,65.8,2.4
0500000US04007,75.7,1.1
0500000US04009,75.3,2.1
0500000US04011,84.8,2.0
0500000US04012,70.7,1.4
0500000US04013,72.7,7.6
0500000US04015,88.8,1.8
0500000US04017,50.8,1.3
0500000US04019,76.7,5.3
0500000US04021,75.4,6.7
0500000US04023,68.7,0.7
0500000US04025,90.7,1.3
0500000US04027,69.2,2.8
0500000US05001,72.2,25.8
0500000US05003,71.4,25.7
0500000US05005,97.7,0.7
0500000US05007,81.5,2.7
0500000US05009,97.5,0.7
0500000US05011,59.8,29.3
0500000US05013,78.7,20.6
0500000US05015,85.8,0.9
0500000US05017,41.4,54.3
0500000US05019,71.7,25.6
0500000US05021,98.5,1.1
0500000US05023,97.7,0.8
0500000US05025,89.0,10.1
0500000US05027,62.0,35.8
0500000US05029,85.7,12.4
0500000US05031,78.1,18.4
0500000US05033,90.3,2.7
0500000US05035,43.3,55.4
0500000US05037,76.2,23.1
0500000US05039,57.5,42.0
0500000US05041,46.6,49.3
0500000US05043,68.4,29.4
0500000US05045,83.5,13.6
0500000US05047,96.0,1.0
0500000US05049,98.2,0.7
0500000US05051,86.3,10.1
0500000US05053,95.5,3.1
0500000US05055,95.0,2.8
0500000US05057,61.1,29.9
0500000US05059,86.3,12.3
0500000US05061,69.4,22.2
0500000US05063,90.8,3.3
0500000US05065,96.1,2.6
0500000US05067,80.9,18.2
0500000US05069,40.5,57.6
0500000US05071,85.5,2.8
0500000US05073,65.3,33.8
0500000US05075,97.3,1.7
0500000US05077,43.4,56.1
0500000US05079,68.0,29.5
0500000US05081,78.6,19.7
0500000US05083,95.0,1.9
0500000US05085,90.3,7.3
0500000US05087,93.2,0.7
0500000US05089,98.2,0.5
0500000US05091,71.0,27.5
0500000US05093,60.9,37.1
0500000US05095,55.7,42.3
0500000US05097,95.2,0.5
0500000US05099,67.1,31.2
0500000US05101,97.8,0.5
0500000US05103,58.3,41.6
0500000US05105,97.1,1.9
0500000US05107,36.0,63.7
0500000US05109,91.3,3.2
0500000US05111,89.4,9.4
0500000US05113,94.0,0.9
0500000US05115,89.1,4.5
0500000US05117,87.5,12.2
0500000US05119,55.6,38.0
0500000US05121,94.3,1.4
0500000US05123,43.6,55.5
0500000US05125,86.0,9.6
0500000US05127,90.9,1.1
0500000US05129,98.0,0.5
0500000US05131,78.2,8.4
0500000US05133,71.5,4.9
0500000US05135,97.3,1.4
0500000US05137,98.0,0.5
0500000US05139,63.4,33.9
0500000US05141,97.0,0.9
0500000US05143,78.6,4.8
0500000US05145,91.4,6.2
0500000US05147,72.5,27.7
0500000US05149,83.9,2.0
0500000US06001,41.0,11.8
0500000US06003,75.7,3.0
0500000US06005,86.0,3.8
0500000US06007,81.7,3.1
0500000US06009,90.9,1.5
0500000US06011,61.6,1.5
0500000US06013,54.8,10.7
0500000US06015,73.7,4.3
0500000US06017,87.8,1.6
0500000US06019,52.3,6.1
0500000US06021,67.4,1.3
0500000US06023,83.1,2.8
0500000US06025,53.2,3.0
0500000US06027,72.5,1.4
0500000US06029,56.1,6.8
0500000US06031,54.9,7.4
0500000US06033,81.3,3.1
0500000US06035,71.5,7.8
0500000US06037,46.1,9.4
0500000US06039,56.7,3.7
0500000US06041,79.0,3.5
0500000US06043,89.3,1.6
0500000US06045,77.5,1.6
0500000US06047,53.6,4.5
0500000US06049,85.7,1.9
0500000US06051,82.3,1.2
0500000US06053,52.6,3.3
0500000US06055,69.3,2.8
0500000US06057,93.3,1.1
0500000US06059,56.6,2.6
0500000US06061,82.8,2.9
0500000US06063,92.7,1.6
0500000US06065,56.7,8.2
0500000US06067,56.9,12.5
0500000US06069,59.2,1.7
0500000US06071,51.1,10.2
0500000US06073,64.2,6.4
0500000US06075,50.2,6.8
0500000US06077,47.1,9.7
0500000US06079,83.2,2.5
0500000US06081,50.5,3.1
0500000US06083,67.0,2.7
0500000US06085,42.1,3.2
0500000US06087,72.9,2.2
0500000US06089,88.9,2.2
0500000US06091,94.6,2.0
0500000US06093,87.2,2.3
0500000US06095,51.4,16.9
0500000US06097,75.6,2.7
0500000US06099,60.6,4.1
0500000US06101,58.6,3.3
0500000US06103,79.6,1.5
0500000US06105,80.3,0.9
0500000US06107,56.8,2.1
0500000US06109,89.2,2.6
0500000US06111,67.1,2.9
0500000US06113,64.4,4.3
0500000US06115,70.6,6.0
0500000US08001,72.6,4.7
0500000US08003,78.7,2.2
0500000US08005,72.2,13.2
0500000US08007,92.2,1.1
0500000US08009,92.9,1.6
0500000US08011,76.1,5.6
0500000US08013,87.1,1.9
0500000US08014,86.6,2.4
0500000US08015,92.5,2.2
0500000US08017,93.7,1.8
0500000US08019,95.6,1.2
0500000US08021,82.2,0.9
0500000US08023,79.5,2.4
0500000US08025,69.3,9.4
0500000US08027,96.2,1.0
0500000US08029,92.0,1.0
0500000US08031,73.3,10.8
0500000US08033,94.9,1.8
0500000US08035,89.9,2.5
0500000US08037,84.9,1.0
0500000US08039,95.6,1.2
0500000US08041,82.7,8.7
0500000US08043,88.4,4.4
0500000US08045,80.9,1.2
0500000US08047,95.0,1.3
0500000US08049,93.6,0.8
0500000US08051,93.3,1.0
0500000US08053,95.1,3.7
0500000US08055,87.6,1.6
0500000US08057,94.3,1.2
0500000US08059,89.5,2.2
0500000US08061,96.6,2.4
0500000US08063,89.6,0.9
0500000US08065,81.6,1.2
0500000US08067,88.4,1.0
0500000US08069,91.6,2.0
0500000US08071,83.7,2.1
0500000US08073,83.7,5.4
0500000US08075,86.9,4.2
0500000US08077,91.7,1.5
0500000US08079,97.9,1.8
0500000US08081,91.5,1.4
0500000US08083,81.5,1.1
0500000US08085,88.0,1.0
0500000US08087,79.1,3.9
0500000US08089,83.3,1.6
0500000US08091,96.6,0.7
0500000US08093,95.7,1.1
0500000US08095,86.9,1.2
0500000US08097,92.3,1.2
0500000US08099,80.2,1.4
0500000US08101,81.7,3.5
0500000US08103,93.7,0.9
0500000US08105,84.5,1.3
0500000US08107,94.7,1.1
0500000US08109,86.2,0.7
0500000US08111,95.6,1.3
0500000US08113,92.7,0.8
0500000US08115,92.9,0.9
0500000US08117,87.9,1.4
0500000US08119,95.9,1.3
0500000US08121,94.6,1.5
0500000US08123,83.8,2.2
0500000US08125,84.8,0.6
0500000US09001,70.7,13.1
0500000US09003,69.4,16.6
0500000US09005,92.3,3.1
0500000US09007,88.5,6.9
0500000US09009,71.3,16.3
0500000US09011,83.0,8.8
0500000US09013,87.9,5.0
0500000US09015,89.3,3.6
0500000US10001,66.7,29.6
0500000US10003,61.7,28.3
0500000US10005,80.7,12.5
0500000US11001,46.4,44.2
0500000US12001,70.4,21.0
0500000US12003,83.6,14.5
0500000US12005,83.2,12.1
0500000US12007,77.6,20.7
0500000US12009,83.2,11.8
0500000US12011,58.1,30.2
0500000US12013,84.6,13.8
0500000US12015,90.8,6.3
0500000US12017,93.6,3.8
0500000US12019,80.0,14.5
0500000US12021,82.5,7.1
0500000US12023,79.1,18.3
0500000US12027,74.1,13.6
0500000US12029,88.4,10.5
0500000US12031,59.7,31.9
0500000US12033,71.7,23.6
0500000US12035,84.3,11.5
0500000US12037,85.1,12.8
0500000US12039,38.7,54.8
0500000US12041,91.1,5.5
0500000US12043,78.6,12.9
0500000US12045,85.1,13.3
0500000US12047,61.9,33.4
0500000US12049,75.4,9.6
0500000US12051,65.5,12.1
0500000US12053,88.1,7.0
0500000US12055,80.8,11.4
0500000US12057,68.2,19.0
0500000US12059,91.2,7.3
0500000US12061,85.2,9.6
0500000US12063,70.7,27.3
0500000US12065,65.0,32.9
0500000US12067,81.4,13.5
0500000US12069,80.1,12.2
0500000US12071,81.9,9.2
0500000US12073,62.9,32.4
0500000US12075,86.5,10.0
0500000US12077,78.0,18.2
0500000US12079,62.1,36.5
0500000US12081,82.3,9.5
0500000US12083,80.7,13.6
0500000US12085,86.8,5.8
0500000US12086,69.8,17.0
0500000US12087,87.1,7.1
0500000US12089,91.4,6.8
0500000US12091,82.1,12.0
0500000US12093,79.0,9.7
0500000US12095,60.9,22.2
0500000US12097,63.4,14.0
0500000US12099,70.4,19.4
0500000US12101,85.1,8.0
0500000US12103,82.2,11.5
0500000US12105,72.5,16.8
0500000US12107,78.1,17.0
0500000US12109,89.1,6.2
0500000US12111,69.9,22.5
0500000US12113,88.8,7.5
0500000US12115,90.1,4.9
0500000US12117,75.1,14.0
0500000US12119,90.5,7.2
0500000US12121,82.7,12.6
0500000US12123,77.7,20.4
0500000US12125,77.3,21.1
0500000US12127,81.6,12.3
0500000US12129,84.5,13.8
0500000US12131,89.5,5.6
0500000US12133,83.9,14.5
0500000US13001,74.5,19.8
0500000US13003,71.6,15.5
0500000US13005,78.3,17.7
0500000US13007,56.6,41.0
0500000US13009,54.6,43.3
0500000US13011,93.1,3.3
0500000US13013,76.5,14.3
0500000US13015,82.6,12.3
0500000US13017,58.9,38.0
0500000US13019,85.6,12.1
0500000US13021,40.0,56.5
0500000US13023,74.4,23.5
0500000US13025,95.3,4.1
0500000US13027,61.1,36.5
0500000US13029,79.9,16.7
0500000US13031,66.8,30.1
0500000US13033,52.8,46.5
0500000US13035,70.4,28.4
0500000US13037,33.1,65.1
0500000US13039,77.3,20.2
0500000US13043,66.8,25.6
0500000US13045,75.5,20.7
0500000US13047,93.8,3.9
0500000US13049,73.1,22.4
0500000US13051,54.2,39.1
0500000US13053,71.6,19.1
0500000US13055,86.0,11.5
0500000US13057,85.5,8.1
0500000US13059,64.4,26.2
0500000US13061,42.8,57.4
0500000US13063,14.4,72.7
0500000US13065,67.2,31.1
0500000US13067,59.1,29.1
0500000US13069,63.7,29.2
0500000US13071,65.5,23.2
0500000US13073,73.4,20.8
0500000US13075,67.8,29.1
0500000US13077,75.9,19.4
0500000US13079,79.1,20.2
0500000US13081,52.6,45.7
0500000US13083,96.8,1.4
0500000US13085,95.2,1.5
0500000US13087,52.9,42.8
0500000US13089,34.7,53.3
0500000US13091,68.3,30.9
0500000US13093,44.3,50.4
0500000US13095,26.8,71.6
0500000US13097,42.3,51.5
0500000US13099,47.2,52.4
0500000US13101,78.3,5.2
0500000US13103,82.4,15.5
0500000US13105,69.0,28.1
0500000US13107,64.3,33.2
0500000US13109,63.2,30.4
0500000US13111,97.4,0.8
