GEO_ID,lessthan50K,50to75k,75to100k,morethan100k
1001,46.4,19.5,13.2,20.8
1003,48.5,18.6,12.0,20.9
1005,65.9,14.6,9.4,9.9
1007,60.3,17.7,11.4,10.6
1009,53.9,21.8,11.0,13.3
1011,68.6,17.9,8.1,5.3
1013,64.7,16.2,8.8,10.1
1015,57.4,19.0,10.1,13.6
1017,64.6,16.1,11.0,8.4
1019,60.7,17.1,9.5,12.7
1021,57.1,18.6,11.3,13.0
1023,64.5,15.6,7.4,12.5
1025,63.4,13.0,8.9,14.7
1027,63.7,16.8,9.5,10.1
1029,62.2,19.0,7.8,11.0
1031,51.4,17.6,11.5,19.5
1033,54.9,19.5,12.3,13.3
1035,73.3,14.1,7.2,5.4
1037,68.7,17.2,8.2,5.8
1039,60.5,18.6,8.7,12.1
1041,62.7,16.7,8.9,11.7
1043,61.7,17.0,9.6,11.7
1045,55.7,19.8,10.4,14.1
1047,71.6,11.2,7.0,10.0
1049,61.6,19.6,9.8,9.0
1051,47.0,18.2,14.2,20.5
1053,67.0,14.9,7.6,10.5
1055,58.1,19.1,11.1,11.7
1057,64.7,15.3,10.9,8.8
1059,65.6,15.5,9.3,9.4
1061,63.3,16.5,10.3,9.9
1063,80.2,9.3,5.2,5.3
1065,64.4,17.7,8.4,9.5
1067,58.5,18.5,8.0,15.0
1069,57.4,16.8,10.6,15.3
1071,61.7,18.2,9.5,10.7
1073,52.0,17.1,10.8,20.2
1075,67.6,16.8,6.8,8.8
1077,56.0,18.4,11.0,14.6
1079,56.3,18.7,11.5,13.4
1081,53.9,16.3,11.0,18.8
1083,48.9,17.1,12.2,21.8
1085,71.0,14.6,5.5,8.8
1087,69.3,12.4,8.4,9.9
1089,42.6,16.5,12.2,28.8
1091,68.1,13.4,7.0,11.3
1093,65.2,14.5,8.0,12.2
1095,60.3,16.4,9.8,13.5
1097,54.5,18.4,11.0,16.1
1099,69.8,13.9,7.4,8.9
1101,54.1,16.9,11.0,18.0
1103,52.8,19.4,12.0,15.9
1105,76.2,11.9,4.3,7.5
1107,66.4,14.5,9.1,10.1
1109,67.4,12.9,8.2,11.5
1111,61.9,21.7,7.4,9.0
1113,60.4,17.4,10.7,11.4
1115,45.6,21.7,15.2,17.6
1117,34.2,17.6,16.3,31.9
1119,76.0,10.5,7.8,5.6
1121,62.8,16.4,9.4,11.4
1123,58.9,18.9,10.6,11.5
1125,51.9,17.2,12.6,18.4
1127,62.3,16.7,9.8,11.1
1129,61.5,16.1,11.9,10.6
1131,73.9,12.9,5.6,7.6
1133,65.7,18.8,7.1,8.5
2013,35.7,21.8,15.6,26.9
2016,26.4,15.9,19.2,38.6
2020,28.7,17.4,14.5,39.3
4001,67.6,15.2,8.5,8.8
4003,54.4,18.4,11.3,16.0
4005,49.1,17.3,13.0,20.7
4007,61.1,17.0,10.2,11.7
4009,52.1,19.0,15.5,13.3
4011,48.4,20.1,13.0,18.5
4012,64.5,19.2,7.9,8.3
4013,44.8,18.5,12.5,24.3
4015,61.2,18.6,9.4,10.8
4017,61.8,18.4,9.4,10.4
4019,52.8,17.9,11.3,17.9
4021,48.8,21.4,13.1,16.7
4023,60.7,16.3,10.7,12.3
4025,53.6,20.3,11.5,14.7
4027,58.8,18.5,10.9,11.7
5001,64.3,15.0,8.7,12.0
5003,63.3,16.0,10.0,10.7
5005,64.0,19.2,7.9,9.0
