GEO_ID,manu_arg
0500000US01001,15.2
0500000US01003,10.6
0500000US01005,26.9
0500000US01007,25.0
0500000US01009,18.5
0500000US01011,38.5
0500000US01013,24.3
0500000US01015,18.0
0500000US01017,28.6
0500000US01019,24.6
0500000US01021,16.4
0500000US01023,27.8
0500000US01025,25.8
0500000US01027,38.8
0500000US01029,24.1
0500000US01031,15.5
0500000US01033,19.4
0500000US01035,24.8
0500000US01037,21.4
0500000US01039,21.8
0500000US01041,24.6
0500000US01043,19.2
0500000US01045,14.0
0500000US01047,24.2
0500000US01049,32.1
0500000US01051,13.5
0500000US01053,18.9
0500000US01055,20.0
0500000US01057,29.9
0500000US01059,31.7
0500000US01061,19.3
0500000US01063,24.3
0500000US01065,22.6
0500000US01067,17.2
0500000US01069,11.2
0500000US01071,29.0
0500000US01073,9.4
0500000US01075,22.7
0500000US01077,14.9
0500000US01079,28.5
0500000US01081,13.1
0500000US01083,17.3
0500000US01085,28.3
0500000US01087,16.8
0500000US01089,12.4
0500000US01091,21.6
0500000US01093,23.7
0500000US01095,23.6
0500000US01097,13.4
0500000US01099,22.9
0500000US01101,11.9
0500000US01103,20.8
0500000US01105,25.2
0500000US01107,23.9
0500000US01109,18.5
0500000US01111,30.7
0500000US01113,13.3
0500000US01115,16.3
0500000US01117,8.1
0500000US01119,15.0
0500000US01121,23.3
0500000US01123,26.8
0500000US01125,15.9
0500000US01127,16.9
0500000US01129,29.6
0500000US01131,19.4
0500000US01133,25.3
0500000US02013,69.6
0500000US02016,39.1
0500000US02020,5.8
0500000US02050,1.2
0500000US02060,11.3
0500000US02068,8.5
0500000US02070,8.7
0500000US02090,4.6
0500000US02100,12.2
0500000US02105,20.8
0500000US02110,5.8
0500000US02122,16.7
0500000US02130,8.0
0500000US02150,21.5
0500000US02158,6.3
0500000US02164,15.4
0500000US02170,8.4
0500000US02180,7.5
0500000US02185,31.4
0500000US02188,7.3
0500000US02195,37.2
0500000US02198,22.9
0500000US02220,15.2
0500000US02230,12.2
0500000US02240,18.4
0500000US02261,19.9
0500000US02275,17.3
0500000US02282,21.7
0500000US02290,5.8
0500000US04001,4.2
0500000US04003,7.8
0500000US04005,8.5
0500000US04007,11.3
0500000US04009,16.6
0500000US04011,45.6
0500000US04012,18.1
0500000US04013,8.2
0500000US04015,7.2
0500000US04017,7.2
0500000US04019,7.9
0500000US04021,12.8
0500000US04023,8.6
0500000US04025,7.9
0500000US04027,15.2
0500000US05001,31.4
0500000US05003,24.8
0500000US05005,18.9
0500000US05007,15.0
