GEO_ID,Pop,Urban
0500000US01001,24350,14359
0500000US01003,124148,83408
0500000US01005,11618,4080
0500000US01007,9002,0
0500000US01009,24622,2285
0500000US01011,4516,0
0500000US01013,9806,2890
0500000US01015,53052,34203
0500000US01017,16373,7985
0500000US01019,14513,0
0500000US01021,19438,2891
0500000US01023,7104,0
0500000US01025,11655,0
0500000US01027,7035,0
0500000US01029,6801,0
0500000US01031,24105,12323
0500000US01033,27666,16432
0500000US01035,6382,0
0500000US01037,5999,0
0500000US01039,18596,5846
0500000US01041,6516,0
0500000US01043,39145,9500
0500000US01045,22761,11233
0500000US01047,18880,10472
0500000US01049,30584,3335
0500000US01051,36818,10544
0500000US01053,16684,6211
0500000US01055,47306,27895
0500000US01057,7760,0
0500000US01059,13912,3847
0500000US01061,12452,55
0500000US01063,4205,0
0500000US01065,7399,0
0500000US01067,9058,0
0500000US01069,49282,33017
0500000US01071,24627,6394
0500000US01073,307927,274337
0500000US01075,7071,0
0500000US01077,44585,22010
0500000US01079,15225,1
0500000US01081,74856,55786
0500000US01083,42692,20749
0500000US01085,4779,0
0500000US01087,9604,4332
0500000US01089,169820,142378
0500000US01091,9777,2986
0500000US01093,14073,0
0500000US01095,41245,18525
0500000US01097,184441,145122
0500000US01099,10127,2229
0500000US01101,105293,93042
0500000US01103,53265,33042
0500000US01105,3933,0
0500000US01107,8646,0
0500000US01109,15977,6857
0500000US01111,12400,0
0500000US01113,27253,16712
0500000US01115,37775,12643
0500000US01117,89060,67495
0500000US01119,6279,0
0500000US01121,37948,15825
0500000US01123,22686,4428
0500000US01125,101460,71635
0500000US01127,29975,5781
0500000US01129,7712,0
0500000US01131,5261,0
0500000US01133,13015,0
0500000US02013,679,0
0500000US02016,1331,0
0500000US02020,118640,113189
0500000US02050,5984,1756
0500000US02060,857,0
0500000US02063,3565,0
0500000US02066,2769,0
0500000US02068,1606,0
0500000US02070,2405,0
0500000US02090,42659,30180
0500000US02100,1370,0
0500000US02105,1777,0
0500000US02110,14093,10960
0500000US02122,32622,6210
0500000US02130,6614,5458
0500000US02150,5825,3798
0500000US02158,2342,0
0500000US02164,1469,0
0500000US02170,51077,20504
0500000US02180,4095,0
0500000US02185,2619,0
0500000US02188,2717,0
0500000US02195,1718,0
0500000US02198,3227,0
0500000US02220,4139,3663
0500000US02230,760,0
0500000US02240,3513,0
0500000US02275,1273,0
0500000US02282,441,0
0500000US02290,4014,0
0500000US04001,28723,0
0500000US04003,58648,36374
0500000US04005,69108,42035
0500000US04007,32373,16296
0500000US04009,13704,7461
0500000US04011,4389,0
0500000US04012,13457,7758
0500000US04013,1812827,1775122
0500000US04015,117650,89596
0500000US04017,56180,28263
0500000US04019,470132,433044
0500000US04021,172878,136244
0500000US04023,18729,7334
0500000US04025,121154,81245
0500000US04027,92048,80314
0500000US05001,8671,4049
0500000US05003,9371,3550
0500000US05005,22699,9114
0500000US05007,113088,85069
0500000US05009,17368,6799
0500000US05011,5073,2590
0500000US05013,2444,0
0500000US05015,13853,2008
0500000US05017,5104,0
0500000US05019,9977,4205
0500000US05021,7470,0
0500000US05023,15527,3841
0500000US05025,3570,0
0500000US05027,10999,4483
0500000US05029,9646,3020
0500000US05031,46739,31507
0500000US05033,25300,12438
0500000US05035,21291,16980
0500000US05037,7585,3383
0500000US05039,3468,0
0500000US05041,5795,2143
0500000US05043,8259,3906
0500000US05045,51685,29045
0500000US05047,7716,0
0500000US05049,6185,0
0500000US05051,52326,36496
0500000US05053,7839,2116
0500000US05055,19159,10612
0500000US05057,9601,4095
0500000US05059,14179,4235
0500000US05061,6152,0
0500000US05063,16667,4724
0500000US05065,6721,0
0500000US05067,7079,2933
0500000US05069,30573,21423
0500000US05071,11475,3324
0500000US05073,3916,0
0500000US05075,7489,2986
0500000US05077,3695,0
0500000US05079,4366,0
0500000US05081,6043,0
0500000US05083,9744,0
0500000US05085,30112,14129
0500000US05087,7611,0
0500000US05089,9461,0
0500000US05091,19779,11920
0500000US05093,19075,10808
0500000US05095,3828,0
0500000US05097,5435,0
0500000US05099,4298,0
0500000US05101,4086,0
0500000US05103,11837,5192
0500000US05105,4933,0
0500000US05107,8315,4394
0500000US05109,5289,0
0500000US05111,10327,3143
0500000US05113,9612,2789
0500000US05115,26902,11670
0500000US05117,4071,0
0500000US05119,190511,170591
0500000US05121,8562,3141
0500000US05123,9565,4074
0500000US05125,51879,33661
0500000US05127,4851,0
0500000US05129,4705,0
0500000US05131,56749,45973
0500000US05133,6741,2163
0500000US05135,9499,0
0500000US05137,6784,0
0500000US05139,18599,8867
0500000US05141,9668,0
0500000US05143,100508,76566
0500000US05145,33270,14627
0500000US05147,3250,0
0500000US05149,9246,1649
0500000US06001,621958,619000
0500000US06003,1540,0
0500000US06005,18805,5922
0500000US06007,90133,70214
0500000US06009,27422,3212
0500000US06011,8099,4444
0500000US06013,423342,419352
0500000US06015,11090,6674
0500000US06017,93467,58972
0500000US06019,338441,298380
0500000US06021,10895,6354
0500000US06023,62120,41462
0500000US06025,56625,46189
0500000US06027,9469,5104
0500000US06029,301009,256001
0500000US06031,46287,40682
0500000US06033,34220,21186
0500000US06035,12216,4233
0500000US06037,3591981,3560637
0500000US06039,49572,27184
0500000US06041,111564,102961
0500000US06043,9760,0
0500000US06045,41370,19826
0500000US06047,87783,72061
0500000US06049,4752,0
0500000US06051,13589,9174
0500000US06053,143631,122019
0500000US06055,55448,45669
0500000US06057,53627,30546
0500000US06059,1129785,1126788
0500000US06061,172356,141277
0500000US06063,15396,0
0500000US06065,848549,799271
0500000US06067,587551,573442
0500000US06069,20365,15163
0500000US06071,731899,676888
0500000US06073,1228505,1179567
0500000US06075,406628,406628
0500000US06077,251453,230352
0500000US06079,123715,101621
0500000US06081,283693,278229
0500000US06083,158279,148101
0500000US06085,688035,679009
0500000US06087,106345,91248
0500000US06089,79380,51389
0500000US06091,2127,19
0500000US06093,22929,6623
0500000US06095,162237,154627
0500000US06097,204742,169385
0500000US06099,183140,167363
0500000US06101,34499,28795
0500000US06103,27341,11321
0500000US06105,8183,0
0500000US06107,150652,118632
0500000US06109,31415,16017
0500000US06111,293080,283268
0500000US06113,80188,73737
0500000US06115,29458,19189
0500000US08001,186544,179214
0500000US08003,7064,4656
0500000US08005,262493,257844
0500000US08007,9495,4096
0500000US08009,1972,0
0500000US08011,2136,0
0500000US08013,140848,125527
0500000US08014,31298,31212
0500000US08015,10921,5490
0500000US08017,925,0
0500000US08019,5672,0
0500000US08021,3998,0
0500000US08023,2423,0
0500000US08025,1509,0
0500000US08027,4175,0
0500000US08029,14780,3553
0500000US08031,344980,344972
0500000US08033,1319,0
0500000US08035,135643,123036
0500000US08037,32967,27376
0500000US08039,9805,0
0500000US08041,287459,261895
0500000US08043,20243,11117
0500000US08045,24091,16370
0500000US08047,3516,0
0500000US08049,16633,8433
0500000US08051,12131,3285
0500000US08053,1329,0
0500000US08055,4679,0
0500000US08057,1190,0
0500000US08059,248429,229721
0500000US08061,736,0
0500000US08063,3410,0
0500000US08065,4303,2606
0500000US08067,28198,9232
0500000US08069,158769,139171
0500000US08071,8077,4362
0500000US08073,2358,0
0500000US08075,8668,5658
0500000US08077,67407,58584
0500000US08079,1215,0
0500000US08081,6091,4288
0500000US08083,12295,3914
0500000US08085,18952,11114
0500000US08087,11493,7253
0500000US08089,8716,3571
0500000US08091,3314,0
0500000US08093,14112,0
0500000US08095,2025,0
0500000US08097,13245,9413
0500000US08099,5437,3386
0500000US08101,71981,62403
0500000US08103,3274,0
0500000US08105,6527,0
0500000US08107,16511,10532
0500000US08109,3739,0
0500000US08111,779,0
0500000US08113,6551,4347
0500000US08115,1343,0
0500000US08117,31342,25890
0500000US08119,13316,4510
0500000US08121,2276,0
0500000US08123,119962,95591
0500000US08125,4315,0
0500000US09001,378479,358340
0500000US09003,385307,365311
0500000US09005,87615,46896
0500000US09007,76289,55718
0500000US09009,369178,352236
0500000US09011,122863,89514
0500000US09013,60876,30415
0500000US09015,49590,24761
0500000US10001,72708,53391
0500000US10003,233747,222024
0500000US10005,142280,103198
0500000US11001,350364,350364
0500000US12001,123359,95632
0500000US12003,9809,3897
0500000US12005,102971,91858
0500000US12007,10723,3486
0500000US12009,288794,277769
0500000US12011,860329,860294
0500000US12013,5628,0
0500000US12015,110046,103997
0500000US12017,81687,60897
0500000US12019,85049,71878
0500000US12021,228390,211867
0500000US12023,29775,11058
